order_bn,text,label_confirm
5.67e+17,亲，请尽快帮我发货可以吗？我周六要出去露营，着急要,1
6.65e+17,请检查后发货哦。谢谢！,1
6.65e+17,挑好的,1
6.65e+17,帮我发顺丰，着急要，谢谢，记得配袋子装杆子,0
6.65e+17,请尽快发货,1
5.67e+17,尽快发货！,1
5.62e+17,请检查好质量合作愉快！,1
6.65e+17,发顺丰快递，今天发货，谢谢。,0
5.62e+17,中通快递！！！,0
6.65e+17,要碎钉TF的,0
6.65e+17,不用圆通，谢谢。,0
5.61e+17,"拒绝百世,天天快递",0
6.65e+17,快递请送上楼，谢谢,0
6.65e+17,急需,1
6.65e+17,能用顺丰就用顺丰,0
6.65e+17,快点送到,1
6.65e+17,请老板发货前仔细查看宝贝是否有瑕疵谢谢老板。,1
5.62e+17,不要寄申通和韵达！,0
6.65e+17,谢谢老板！,1
6.65e+17,务必送货上门，放到代收点我会拒收，谢谢！,0
6.65e+17,可以发申通或圆通吗,0
6.65e+17,质量检查一下哦！包装好点，早点发货,1
5.62e+17,请店家仔细检查货物质量，并注意包装完好，谢谢,1
5.62e+17,申通中通圆通韵达天天汇通,0
6.65e+17,发货前请仔细检查商品质量以免退换,1
6.65e+17,检查好发货,1
6.65e+17,170，大童绿色,0
6.65e+17,请今天发货，保质量，谢谢！,1
6.65e+17,请发天天或者百世,0
5.67e+17,麻烦商品质量检验后发货！谢谢！,1
6.65e+17,亲尽快发货,1
6.65e+17,请注意质量和包装,1
6.65e+17,尽量别发圆通，谢谢老板！,0
6.65e+17,请注意质量和包装,1
6.65e+17,请尽快发货，急需的,1
6.65e+17,不要发圆通快递，谢谢,0
6.65e+17,不要发韵达邮政天天,0
5.67e+17,发货前请检查货品质量、型号、尺寸，谢谢！,1
6.65e+17,请卖家注意一下包装，保证商品完整，谢谢。,1
6.65e+17,申通。,0
5.67e+17,请速发货，谢谢！,1
6.65e+17,请亲发货前仔细检查物品，确保质量！,1
6.65e+17,请务必挑选好的产品给我，避免不必要的退换货，谢谢。,1
6.65e+17,快点帮我发,1
6.65e+17,不要发百世,0
6.65e+17,中通谢谢,0
6.65e+17,首选中通圆通,0
6.65e+17,XL灰色,0
6.65e+17,请尽快发货,1
5.67e+17,韵达,0
6.65e+17,亲尽快发货谢谢???,1
6.65e+17,尽快发货,1
5.62e+17,一双25-26，一双27-30,0
5.62e+17,要好货，不用有瑕疵！！！,1
6.65e+17,可以的话请发中通申通谢谢,0
6.65e+17,快递送家里，拒绝代收,0
5.62e+17,麻烦尽快发货,1
6.65e+17,需要开票,1
5.62e+17,发货前仔细检查，保证品质，谢谢,1
6.65e+17,请发货,1
6.65e+17,不要放发货单,1
6.65e+17,不放价格清单,1
5.67e+17,送的口红默认款16号和小辣椒色,0
6.65e+17,请放丰巢箱，谢谢,0
6.65e+17,速发急用,1
6.65e+17,不放清单、二维码、吊牌、,0
6.65e+17,请放家门口，不要送到驿站，谢谢?,0
5.62e+17,传递动能量，请尽快发货,1
6.65e+17,请包装牢固安全，尽快发货，谢谢！,1
6.65e+17,这个是给客户的订单，请不要在包裹内放价格信息，包裹不要放发票，谢谢！除了产品什么都不要放。,1
6.65e+17,拒绝申通和百世汇通,0
6.65e+17,麻烦店家检查完好后再发货，谢谢～,1
5.67e+17,请开电子发票,1
6.65e+17,桔3只、青红3、亲 帮我寄这两个色，谢谢哈！,0
6.65e+17,卖家发货前请仔细检查商品 看看有无瑕疵或是质量问题 检查所购买款式 颜色 尺码 不要错发 免得到时大家麻烦！,1
6.65e+17,希望快点发货呢。,1
6.65e+17,请确保质量和包装完好，尽快发货,1
6.65e+17,请帮忙附卡：米粒生日快乐，健康成长！,1
6.65e+17,由于掉毛和缝线歪还有袖子上的按扣装订位置不对称，我已经退了一件了，希望商家给我发货前请检查一下,1
6.65e+17,黑色,0
6.65e+17,請務必於10月17日送达，谢谢,0
5.62e+17,请不要放价格单,1
6.65e+17,发前请检查货品质量,1
5.67e+17,选质量好的，谢,1
5.62e+17,记得送小礼物哦,1
5.62e+17,不放清单，二维码，吊牌,0
6.65e+17,开具普通发票,1
6.65e+17,请尽快发货,1
6.65e+17,请不要放价格单,1
5.67e+17,麻烦加急发货哈，急用，非常感谢,1
6.65e+17,麻烦店家发货时帮忙检查一下，谢谢。,1
6.65e+17,不要圆通,0
6.65e+17,发货要快，质量要好,1
5.67e+17,加急发货哈，急用，谢谢,1
6.65e+17,麻烦尽快发货，急用谢谢,1
5.62e+17,注意品质，谢谢,1
5.62e+17,检查一下质量，包装牢固些，谢谢。,1
6.65e+17,抬头，南昌爵沙科技有限公司 增值税普通发票,1
6.65e+17,快递单上麻烦标明一下，请送货上门，有伤不方便下楼拿快递,0
6.65e+17,一件女款180枣红，一件男款180黑灰拼接,0
6.65e+17,尽快邮寄，谢谢,1
6.65e+17,"送礼的，勿放除赠品以外的其它任何东西,不要放吊牌,不要放吊牌,不要放吊牌,不要放发货清单，不要放零售价，不要任何有天猫和淘宝的物样，不要和客户联系有事联系旺旺，不要把此段文字放上去，谢谢",1
6.65e+17,代发,0
5.62e+17,不要发圆通,0
6.65e+17,亲。送人呢。给选择一件外观平整点的。非常感谢,1
5.67e+17,发货时请务必确认质量，谢谢！,1
5.62e+17,申通汇通不到,0
6.65e+17,不要有质量问题,1
6.65e+17,开发票,1
6.65e+17,发顺丰,0
6.65e+17,发中通或申通快递,0
6.65e+17,男款,0
6.65e+17,不要放其他东西，有事联系本账号。谢谢！,0
6.65e+17,代发,0
6.65e+17,新款双肩包，谢谢,0
6.65e+17,发中通谢谢,0
6.65e+17,除了中通其他都可以,0
5.62e+17,请不要放价格单,1
6.65e+17,不放购物清单。,1
6.65e+17,发货之前检查好，确保商品无质量问题。,1
6.65e+17,不放清单、二维码、吊牌、,1
6.65e+17,不要放发货单 不要发发货单 送人的 谢谢,1
6.65e+17,今天发货哦，我爱迪卡侬，等着呢谢谢！！！！！！！！,1
6.65e+17,希望中通或者申通发货,0
5.67e+17,亲，蓝色40-41码脚蹼，浮潜面罩成人款水印蓝M/L（欧洲脸型），发货前烦请仔细检查，感激不尽！,1
6.65e+17,19号要用，希望能早点发货，万分感谢！！！？,1
6.65e+17,都是L码，谢谢！,0
6.65e+17,请发中通快递，谢谢！,0
6.65e+17,顺丰快递 急,0
6.65e+17,圆通或者中通快递,0
6.65e+17,请尽快发货，谢谢。,1
6.65e+17,衣服检查好发货,1
5.62e+17,发货检查一下！,1
6.65e+17,请麻烦发顺丰快递,0
5.62e+17,保证质量！,1
5.62e+17,请用最快的速度发货，急！！！,1
6.65e+17,尽快发货哦,1
5.67e+17,一黑一白,0
6.65e+17,尽快发货谢谢,1
5.67e+17,请帮忙速度快递出来，多谢。,1
5.62e+17,麻烦发圆通或者百世汇通，谢谢,0
6.65e+17,确认发货质量谢谢。,1
6.65e+17,请包装结实点尽快发货，谢谢！,1
6.65e+17,把包装弄好了尽快发货吧！,1
6.65e+17,发申通,0
6.65e+17,尽快发货,1
6.65e+17,黑色+酒红+宝蓝,0
6.65e+17,请一定要质量保证！！！,1
6.65e+17,确保质量，谢谢,1
6.65e+17,不要发申通快递,0
5.62e+17,发货时候检查一下质量,1
6.65e+17,早上9点至下午4点有人签收，谢谢！,0
5.67e+17,顺丰发货 尽快到深圳 急用,0
6.65e+17,乡下只有圆通申通中通，勿发邮政，谢谢,0
5.67e+17,拒收圆通 其他快递随意,0
6.65e+17,请确保质量谢谢,1
6.65e+17,发货前请仔细检查，确保无瑕疵，以避免不必要的麻烦，谢谢！,1
6.65e+17,不放清单,1
6.65e+17,不要发圆通快递,0
5.67e+17,不要走邮政,0
6.65e+17,需要开增值税发票,1
6.65e+17,发中通快递,0
5.67e+17,拜托拜托不要寄申通 谢谢谢谢啦！！！,0
6.65e+17,不要发申通希望中通,0
6.65e+17,不要放任何券,1
6.65e+17,请尽快发货，谢谢,1
6.65e+17,看清楚是两幅镜子,1
6.65e+17,发中通快递，谢谢！,0
6.65e+17,开增值税发票(发票)资料抬头:上海新发展圣淘沙大酒店有限公司 . 开户行：农行上海市奉贤区南桥支行 账号：03803908015026477 税号：91310120630948269P 地址:上海市奉贤区南桥镇南桥路1号电话:37100516,1
6.65e+17,质量问题辛苦老板 祝生意兴隆～,1
6.65e+17,比较急，麻烦尽快发货，谢谢,1
6.65e+17,尽快发货,1
6.65e+17,请帮忙打好气，谢谢！,1
5.62e+17,发货前请仔细检查包装谢谢,1
6.65e+17,81910248@163.COM,1
6.65e+17,烦请务必尽快发货。谢谢。,1
6.65e+17,要全新正品，快点发货谢谢,1
6.65e+17,麻烦出货前好好检查一下,1
6.65e+17,今天发货！,1
6.65e+17,发邮政，谢谢！,0
6.65e+17,请不要放价格清单谢谢,1
6.65e+17,尽快发货,1
6.65e+17,加急！请保存完好并尽快发货，谢谢！,1
6.65e+17,120 蓝色,1
6.65e+17,新球，带塑封的,1
6.65e+17,麻烦尽快发货，着急带出国，非常感谢！,1
6.65e+17,随货清单,1
6.65e+17,请发中通快递,0
6.65e+17,麻烦检查好质量包装得好些谢谢啦！,1
6.65e+17,请发我全新无瑕疵，谢谢,1
6.65e+17,保证质量，全新无瑕疵。,1
6.65e+17,请今天发货，谢谢,1
6.65e+17,快发货 急用 谢谢,1
6.66e+17,发原包装，退换货的不要。,1
6.65e+17,放到丰巢，麻烦给快递说明,0
6.66e+17,不要放返现之类gfhfhfg任何票据谢谢！！,0
6.66e+17,请仔细检查，不要有瑕疵,1
6.65e+17,邮箱28673089@qq.com,1
5.62e+17,尽快发货,1
5.62e+17,请不要放任何有关价格的清单 谢谢,1
6.66e+17,注意质量和保装，今天发货哦，谢谢！,1
6.66e+17,开发票 发至邮箱 christina.li@hbfuller.com,1
6.65e+17,请仔细检查，全新，谢谢,1
6.65e+17,如果500太厚，将会调换为300,1
6.66e+17,我们这没有韵达，麻烦注意一下,0
6.66e+17,麻烦发货前仔细验货，不要有残次，谢谢,1
5.67e+17,请开具发票，抬头：常州市武进区威雅公学实验学校。纳税人识别号：52320412339137516E。,1
6.66e+17,尽快发货，保证质量,1
6.66e+17,请按原价开收据,1
6.65e+17,發货前確認一下物品無誤，全新質量保證。,1
6.66e+17,勿发圆通快递,0
5.67e+17,不要瑕疵,1
5.67e+17,请检查好才发货，不要有瑕疵，谢谢,1
6.65e+17,请退快递费,1
6.66e+17,请一定选好的货发，尽快发货，谢谢,1
6.66e+17,重新拍的，麻烦检查好再发货哦，谢谢,1
6.66e+17,发货前请检查，谢谢,1
7.96e+17,不要购物清单,1
7.96e+17,请尽快邮寄，6 号要用,1
7.96e+17,"( Y17,2.1 )姐告国门商贸城，恒茂路，78号, 茂盛网购",0
7.96e+17,118cm,1
5.75e+17,麻烦发邮政EMS 谢谢,0
5.88e+17,不要发申通快递,0
7.96e+17,急用！！！明天发货,1
7.96e+17,两盒，一盒黑色，一盒灰色，谢谢！,0
7.96e+17,雨衣请备S码一件L码一件。谢谢！,0
7.96e+17,需要9号之前送达，无法送达请安排退款,0
7.96e+17,请发中通快递,0
7.96e+17,麻烦尽早发货，孩子急用，谢谢！,1
7.96e+17,质量问题一律退货,1
5.88e+17,我要蓝色或者黑色的哦,0
5.88e+17,请尽快发货，谢谢。,1
